FRED_DATA_FILE
FILETYPE= Grid2D
DATATYPE= Double
VERSION= 2
PHYSICAL_MEANING= Irradiance
TITLE= "Irradiance"
INFO= "Produced by Detector Entity Node:  "SNSPD" [21]"
DATAUNITS= "Power/Area"
FRED_FILENAME= "blackbody-studies.frd"
DATETIME= "Friday, July 26, 2024 08:39:59 (Central Daylight Time)"
ORIGIN_POSITION= 0 0 0.00075
BINARY= FALSE
HOLE_VALUE= 1e+308
!------------------------------------------------------------------------
A_AXIS_MIN= -0.0025
A_AXIS_MAX= 0.0025
A_AXIS_DIM= 21
A_AXIS_LABEL= "Local X Axis"
A_AXIS_TYPE= Spatial
A_AXIS_UNITS= mm
A_AXIS_DIR= 1 0 0
!------------------------------------------------------------------------
B_AXIS_MIN= -0.0025
B_AXIS_MAX= 0.0025
B_AXIS_DIM= 21
B_AXIS_LABEL= "Local Y Axis"
B_AXIS_TYPE= Spatial
B_AXIS_UNITS= mm
B_AXIS_DIR= 0 1 0
!------------------------------------------------------------------------
DEA_TIMING= At Trace End
NUMBER_OF_RAYS_USED= 227
DEA_SIDEDNESS= Both Sides
BeginData
 0 0 0.176399999596067 0.176399999596067 0 0.176399999596067 0 0.176399999596067 0.176399999596067 0 0.176399999596067 0.352799999192135 0.176399999596067 0.176399999596067 0.176399999596067 0.529199998788202 0.176399999596067 0 0 0 0.352799999192135
 0 0 0 0.352799999192135 0 0 0 0.176399999596067 0 0 0 0.176399999596067 0 0 0 0 0 0 0.176399999596067 0 0
 0.352799999192135 0 0 0 0.176399999596067 0.176399999596067 0.176399999596067 0.176399999596067 0.176399999596067 0 0 0 0.176399999596067 0 0 0.176399999596067 0 0.352799999192135 0 0.529199998788202 0.176399999596067
 0 0 0 0 0.176399999596067 0 0 0.176399999596067 0.176399999596067 0 0.176399999596067 0.176399999596067 0.176399999596067 0 0 0.352799999192135 0 0 0 0 0
 0 0.352799999192135 0.176399999596067 0 0 0.176399999596067 0 0.176399999596067 0.176399999596067 0.529199998788202 0.352799999192135 0.176399999596067 0 0 0 0 0.176399999596067 0.176399999596067 0.352799999192135 0 0
 0 0 0 0 0.176399999596067 0 0 0.176399999596067 0 0 0.352799999192135 0 0 0.352799999192135 0 0.176399999596067 0.176399999596067 0 0 0.352799999192135 0
 0 0.176399999596067 0.529199998788202 0.176399999596067 0.176399999596067 0.176399999596067 0 0 0 0 0.176399999596067 0 0 0.352799999192135 0 0 0.176399999596067 0 0 0.352799999192135 0
 0.176399999596067 0.176399999596067 0.176399999596067 0 0 0 0 0 0.176399999596067 0 0.176399999596067 0 0 0 0.176399999596067 0 0.529199998788202 0 0.176399999596067 0 0.176399999596067
 0 0 0 0 0 0 0.352799999192135 0.176399999596067 0 0.176399999596067 0 0.176399999596067 0.352799999192135 0 0 0 0 0 0 0 0.176399999596067
 0.176399999596067 0 0 0 0.176399999596067 0 0.352799999192135 0.176399999596067 0 0 0.176399999596067 0.176399999596067 0 0 0.176399999596067 0 0 0 0 0 0
 0 0 0 0 0 0 0.352799999192135 0 0 0.176399999596067 0.176399999596067 0 0.176399999596067 0.176399999596067 0 0 0 0 0 0.176399999596067 0
 0.352799999192135 0.176399999596067 0 0.176399999596067 0 0 0 0 0.176399999596067 0 0.176399999596067 0 0 0 0 0 0.176399999596067 0 0.176399999596067 0 0.352799999192135
 0 0.176399999596067 0 0 0 0.352799999192135 0.176399999596067 0 0 0 0.176399999596067 0.352799999192135 0 0 0.176399999596067 0.176399999596067 0 0 0 0.352799999192135 0.176399999596067
 0 0 0.352799999192135 0 0 0.176399999596067 0.176399999596067 0 0.176399999596067 0 0.352799999192135 0 0.176399999596067 0.176399999596067 0 0.176399999596067 0 0 0 0 0
 0.176399999596067 0 0.176399999596067 0 0 0.176399999596067 0 0 0.352799999192135 0.176399999596067 0.176399999596067 0.176399999596067 0 0.176399999596067 0.352799999192135 0 0 0 0 0.529199998788202 0.176399999596067
 0 0 0 0 0 0 0 0.352799999192135 0 0 0 0.176399999596067 0.176399999596067 0 0.176399999596067 0 0 0 0.352799999192135 0.176399999596067 0
 0 0 0.176399999596067 0 0 0 0 0 0.176399999596067 0 0 0 0 0 0 0 0 0.176399999596067 0 0.176399999596067 0.529199998788202
 0.352799999192135 0 0.176399999596067 0 0 0.176399999596067 0 0 0.352799999192135 0 0 0.176399999596067 0.352799999192135 0.352799999192135 0.352799999192135 0 0.176399999596067 0 0 0 0
 0 0.176399999596067 0 0 0.352799999192135 0.176399999596067 0 0 0 0.352799999192135 0 0 0 0.176399999596067 0 0.176399999596067 0 0 0 0 0
 0.176399999596067 0.176399999596067 0.176399999596067 0 0 0.352799999192135 0.352799999192135 0 0 0 0 0 0 0 0 0.176399999596067 0 0.176399999596067 0 0.176399999596067 0
 0 0.176399999596067 0 0.176399999596067 0.176399999596067 0 0.352799999192135 0 0.176399999596067 0.352799999192135 0.352799999192135 0 0 0 0 0.176399999596067 0.176399999596067 0.176399999596067 0.176399999596067 0 0.176399999596067

